participant_id,run_index,relative_path,mask_sha256,mask_nonzero_voxels,mask_fraction,components_26_connected,largest_component_voxels,largest_component_fraction,second_component_voxels,bbox_width_axis0,bbox_width_axis1,bbox_width_axis2,touches_volume_border,claim_level
sub-01,29,sub-01/anat/sub-01_run-29_T1w.nii.gz,66a4107f52342190d31e9b84415f9390cf959cf95f2ff9307843892663bec8d4,1058705,0.082421205,1,1058705,1,0,165,133,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,30,sub-01/anat/sub-01_run-30_T1w.nii.gz,da56be53761b6aac929fdb98e1793516a505cbcf18b22ae6e37815b1eb30fda3,1054980,0.082131211,1,1054980,1,0,167,133,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,31,sub-01/anat/sub-01_run-31_T1w.nii.gz,8398a288ea56a81ba401b05da21043e3f9a81ad3804971a0df80b6911a6069bf,1051378,0.081850791,1,1051378,1,0,166,134,107,0,skullstrip_input_qc_not_segmentation_validation
sub-01,32,sub-01/anat/sub-01_run-32_T1w.nii.gz,ff9c024c044fd21d6dc758b72f3d2ba2727e515968955ec7a7ae9c57f202f3f7,1063307,0.082779476,1,1063307,1,0,169,135,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,33,sub-01/anat/sub-01_run-33_T1w.nii.gz,b29d19c7fd2567487bc159f355c2e78f00884e08b3fc01998713d6ad5d3ffb5b,1056949,0.082284499,1,1056949,1,0,166,134,109,0,skullstrip_input_qc_not_segmentation_validation
sub-01,34,sub-01/anat/sub-01_run-34_T1w.nii.gz,e7a83027412131086f37459a983a98179d92df1ae9a2a20f1d8491bceeff5e11,1045047,0.081357917,1,1045047,1,0,166,132,107,0,skullstrip_input_qc_not_segmentation_validation
sub-01,35,sub-01/anat/sub-01_run-35_T1w.nii.gz,402f4851963f3b74a339003ac731d1a21820cf906844512bc540daf19ac0b1ba,1042154,0.081132694,1,1042154,1,0,167,130,109,0,skullstrip_input_qc_not_segmentation_validation
sub-01,36,sub-01/anat/sub-01_run-36_T1w.nii.gz,2e38f34f7916619ffd967547ae234e69c666b4981958c9497fe26bf9406a3cdf,1044766,0.081336041,1,1044766,1,0,166,133,107,0,skullstrip_input_qc_not_segmentation_validation
sub-01,37,sub-01/anat/sub-01_run-37_T1w.nii.gz,f15934c7d2f996c0fe96b92cf6b1d5a9e9e97a3cf387812c25fc75d4340b19ee,1048647,0.08163818,1,1048647,1,0,165,133,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,38,sub-01/anat/sub-01_run-38_T1w.nii.gz,0cda4ed1baeb06df85a04ced07830f2cf1915e3c6a1d75731c5246c5a86a1fc9,1050837,0.081808674,1,1050837,1,0,165,133,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,39,sub-01/anat/sub-01_run-39_T1w.nii.gz,632d94424e256c1f7ab82137dfef6dc354ceb48fe8619170a2c2dd1aac91bab7,1053971,0.082052659,1,1053971,1,0,167,133,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,40,sub-01/anat/sub-01_run-40_T1w.nii.gz,1f1ffdc78aa671c3d3f0629845f90b75fdd23ae704d428827c44d17b844887d5,1048029,0.081590069,1,1048029,1,0,165,134,107,0,skullstrip_input_qc_not_segmentation_validation
sub-02,1,sub-02/anat/sub-02_run-01_T1w.nii.gz,c1ba2a95530141cab46773e7219ed8f2bebbea9bd01e0e6f2144862bc15c9663,1138337,0.088620633,1,1138337,1,0,177,133,110,0,skullstrip_input_qc_not_segmentation_validation
sub-02,2,sub-02/anat/sub-02_run-02_T1w.nii.gz,4162e333951272ba32dcd83a68bfd510073e7603ec2d01449851973743671f77,1121432,0.087304563,1,1121432,1,0,176,131,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,3,sub-02/anat/sub-02_run-03_T1w.nii.gz,ae1f2cee92c42f299e61e5b82b50bc67cac7aae87b529d6b83940f0e51e92612,1128635,0.087865323,1,1128635,1,0,177,131,109,0,skullstrip_input_qc_not_segmentation_validation
sub-02,4,sub-02/anat/sub-02_run-04_T1w.nii.gz,214fb3ff22ce911321220fa00fb650624c1bda18cdda4ec7c2a8820a97c35174,1131006,0.088049908,1,1131006,1,0,178,132,110,0,skullstrip_input_qc_not_segmentation_validation
