category,name,cross_pos,cross_neg,cross_cv,long_pos,long_neg,long_cv,delta_cv,ratio,improved
hypvinn-volume,Tuberal-Region,39.3,41.1,2.238805970149259,42.3,42.6,0.35335689045936897,-1.88544907968989,0.15783274440518444,True
long-surface-ThickAvg,lh-caudalanteriorcingulate,,,,2.633,2.64,0.13275175421961155,,,
long-surface-ThickAvg,lh-caudalmiddlefrontal,,,,2.592,2.605,0.2501443140273215,,,
long-surface-ThickAvg,lh-cuneus,,,,1.949,1.951,0.05128205128205132,,,
long-surface-ThickAvg,lh-entorhinal,,,,2.8,2.727,1.3207888547132254,,,
long-surface-ThickAvg,lh-fusiform,,,,2.605,2.612,0.134176729921413,,,
long-surface-ThickAvg,lh-inferiorparietal,,,,2.435,2.466,0.6325239746990439,,,
long-surface-ThickAvg,lh-inferiortemporal,,,,2.727,2.738,0.20128087831656213,,,
long-surface-ThickAvg,lh-insula,,,,3.251,3.255,0.06148170919151558,,,
long-surface-ThickAvg,lh-isthmuscingulate,,,,2.315,2.318,0.06475285991798216,,,
long-surface-ThickAvg,lh-lateraloccipital,,,,2.079,2.095,0.38332534738859636,,,
long-surface-ThickAvg,lh-lateralorbitofrontal,,,,2.57,2.574,0.07776049766718514,,,
long-surface-ThickAvg,lh-lingual,,,,2.09,2.081,0.21577559338287935,,,
long-surface-ThickAvg,lh-medialorbitofrontal,,,,2.463,2.448,0.3054367745876629,,,
long-surface-ThickAvg,lh-middletemporal,,,,2.805,2.831,0.4613200851667814,,,
long-surface-ThickAvg,lh-paracentral,,,,2.618,2.646,0.5319148936170218,,,
long-surface-ThickAvg,lh-parahippocampal,,,,2.77,2.753,0.3078037298569601,,,
long-surface-ThickAvg,lh-parsopercularis,,,,2.714,2.733,0.3488158619423559,,,
long-surface-ThickAvg,lh-parsorbitalis,,,,2.709,2.707,0.03692762186115627,,,
