reference_variant,session_group,structure,n_sources,n_methods,reference_volume_ml,source_median_ml,source_mad_ml,reference_strength
trusted_method_balanced_median,2022_primary_t1,right_cerebellum_white_matter,2,2,11.560558899677059,11.560558899677059,1.083875100322941,weak
all_source_median,2022_primary_t1,right_cerebral_cortex,2,2,265.70217783348755,265.70217783348755,14.67619783348755,weak
trusted_source_median,2022_primary_t1,right_cerebral_cortex,2,2,265.70217783348755,265.70217783348755,14.67619783348755,weak
trusted_method_balanced_median,2022_primary_t1,right_cerebral_cortex,2,2,265.70217783348755,265.70217783348755,14.67619783348755,weak
all_source_median,2022_primary_t1,right_cerebral_white_matter,2,2,199.1079537657895,199.1079537657895,9.724846234210489,weak
trusted_source_median,2022_primary_t1,right_cerebral_white_matter,2,2,199.1079537657895,199.1079537657895,9.724846234210489,weak
trusted_method_balanced_median,2022_primary_t1,right_cerebral_white_matter,2,2,199.1079537657895,199.1079537657895,9.724846234210489,weak
all_source_median,2022_primary_t1,right_hippocampus,2,2,3.758991530914065,3.758991530914065,0.18061353091406485,weak
trusted_source_median,2022_primary_t1,right_hippocampus,2,2,3.758991530914065,3.758991530914065,0.18061353091406485,weak
trusted_method_balanced_median,2022_primary_t1,right_hippocampus,2,2,3.758991530914065,3.758991530914065,0.18061353091406485,weak
all_source_median,2022_primary_t1,right_inferior_lateral_ventricle,2,2,0.4022643473219909,0.4022643473219909,0.0936733473219909,weak
trusted_source_median,2022_primary_t1,right_inferior_lateral_ventricle,2,2,0.4022643473219909,0.4022643473219909,0.0936733473219909,weak
trusted_method_balanced_median,2022_primary_t1,right_inferior_lateral_ventricle,2,2,0.4022643473219909,0.4022643473219909,0.0936733473219909,weak
all_source_median,2022_primary_t1,right_lateral_ventricle,2,2,6.103902410789221,6.103902410789221,0.9260144107892208,weak
trusted_source_median,2022_primary_t1,right_lateral_ventricle,2,2,6.103902410789221,6.103902410789221,0.9260144107892208,weak
trusted_method_balanced_median,2022_primary_t1,right_lateral_ventricle,2,2,6.103902410789221,6.103902410789221,0.9260144107892208,weak
all_source_median,2022_primary_t1,right_pallidum,2,2,1.3733487943041107,1.3733487943041107,0.08656779430411077,weak
trusted_source_median,2022_primary_t1,right_pallidum,2,2,1.3733487943041107,1.3733487943041107,0.08656779430411077,weak
trusted_method_balanced_median,2022_primary_t1,right_pallidum,2,2,1.3733487943041107,1.3733487943041107,0.08656779430411077,weak
all_source_median,2022_primary_t1,right_putamen,2,2,4.04621220539461,4.04621220539461,0.5312537946053897,weak
trusted_source_median,2022_primary_t1,right_putamen,2,2,4.04621220539461,4.04621220539461,0.5312537946053897,weak
trusted_method_balanced_median,2022_primary_t1,right_putamen,2,2,4.04621220539461,4.04621220539461,0.5312537946053897,weak
all_source_median,2022_primary_t1,right_thalamus,2,2,6.719827885889252,6.719827885889252,0.05566511411074737,weak
trusted_source_median,2022_primary_t1,right_thalamus,2,2,6.719827885889252,6.719827885889252,0.05566511411074737,weak
trusted_method_balanced_median,2022_primary_t1,right_thalamus,2,2,6.719827885889252,6.719827885889252,0.05566511411074737,weak
all_source_median,2022_primary_t1,third_ventricle,2,2,1.188594302077819,1.188594302077819,0.5099923020778189,weak
trusted_source_median,2022_primary_t1,third_ventricle,2,2,1.188594302077819,1.188594302077819,0.5099923020778189,weak
trusted_method_balanced_median,2022_primary_t1,third_ventricle,2,2,1.188594302077819,1.188594302077819,0.5099923020778189,weak
all_source_median,2024_t1like,brain_stem,6,2,18.583624379553953,18.583624379553953,1.637193120446046,moderate
trusted_source_median,2024_t1like,brain_stem,4,2,18.462650848361967,18.462650848361967,1.6458426124940218,moderate
trusted_method_balanced_median,2024_t1like,brain_stem,4,2,18.499015867933974,18.499015867933974,1.682207632066028,moderate
all_source_median,2024_t1like,csf,6,2,51.75802184512338,51.75802184512338,50.75060325214774,moderate
trusted_source_median,2024_t1like,csf,4,2,98.8891618451234,98.8891618451234,97.73596700306493,moderate
trusted_method_balanced_median,2024_t1like,csf,4,2,103.02836992102924,103.02836992102924,101.87517507897078,moderate
