reference_variant,source_id,method,scan_id,structure,label,dice,jaccard,hd95_mm,assd_mm,source_voxels,reference_voxels,intersection_voxels,signed_volume_error_pct,abs_volume_error_pct,n_reference_sources
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_cerebellum_cortex,47,0.939411104359558,0.8857448048164692,1.4142135381698608,0.5135439038276672,48164,48933,45607,-1.5715365908487113,1.5715365908487113,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_thalamus,49,0.9235550950936136,0.8579678262065172,2.0,0.5425834655761719,7157,6356,6240,12.602265575833856,12.602265575833856,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_caudate,50,0.8900949796472184,0.8019559902200489,1.4142135381698608,0.4211892783641815,3543,3090,2952,14.660194174757283,14.660194174757283,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_putamen,51,0.9204088664293097,0.8525531914893617,1.4142135381698608,0.4062182605266571,4484,4223,4007,6.1804404451811505,6.1804404451811505,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_pallidum,52,0.9307875894988067,0.8705357142857143,1.0,0.3060550391674042,1315,1199,1170,9.674728940783988,9.674728940783988,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_hippocampus,53,0.9361172566371682,0.8799064205874707,1.0,0.28057268261909485,3738,3494,3385,6.983400114481969,6.983400114481969,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_amygdala,54,0.8971665074816937,0.8135103926096998,1.4142135381698608,0.4291594326496124,1680,1461,1409,14.989733059548255,14.989733059548255,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_accumbens_area,58,0.85273492286115,0.7432762836185819,1.0,0.43941864371299744,803,623,608,28.892455858747994,28.892455858747994,4
trusted_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_ventral_dc,60,0.9097899217355485,0.8345088161209068,1.0,0.39088234305381775,3841,3442,3313,11.592097617664148,11.592097617664148,4
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_cerebral_white_matter,2,0.8554768824717464,0.7474526895701853,2.0,0.7733209729194641,197224,188479,164980,4.639774192350341,4.639774192350341,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_cerebral_cortex,3,0.8171559995687642,0.6908400425337992,1.7320507764816284,0.7424388527870178,245132,255754,204651,-4.153209724970088,4.153209724970088,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_lateral_ventricle,4,0.7827844008890685,0.6430942895086321,1.7320507764816284,0.722011923789978,4559,5339,3874,-14.609477430230381,14.609477430230381,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_inferior_lateral_ventricle,5,0.39766081871345027,0.24817518248175183,3.0,1.0279573202133179,209,133,68,57.14285714285714,57.14285714285714,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_cerebellum_white_matter,7,0.8102647363911063,0.6810462471569371,3.605551242828369,1.0705143213272095,11839,10334,8983,14.563576543448809,14.563576543448809,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_cerebellum_cortex,8,0.8953420698789861,0.8105152241842889,2.2360680103302,0.8875913023948669,51513,48145,44614,6.9955343233980685,6.9955343233980685,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_thalamus,10,0.8979382199721183,0.814780292942743,1.7320507764816284,0.6863090395927429,7294,6335,6119,15.138121546961326,15.138121546961326,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_caudate,11,0.7952203136669156,0.6600545499628069,1.9196021556854248,0.7921713590621948,3635,3060,2662,18.790849673202615,18.790849673202615,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_putamen,12,0.855918025930573,0.7481264851032718,2.0,0.7386268377304077,4772,4792,4093,-0.41736227045075125,0.41736227045075125,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_pallidum,13,0.7308181432810513,0.575818303273213,2.4494898319244385,0.9360366463661194,1043,1316,862,-20.74468085106383,20.74468085106383,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,third_ventricle,14,0.7454545454545455,0.5942028985507246,1.4142135381698608,0.6019201278686523,684,856,574,-20.093457943925234,20.093457943925234,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,fourth_ventricle,15,0.8362445414847162,0.7185741088180112,1.4142135381698608,0.4815763831138611,1318,1430,1149,-7.8321678321678325,7.8321678321678325,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,brain_stem,16,0.9029852733615616,0.8231295819779579,2.0,0.746805727481842,19775,17776,16954,11.245499549954996,11.245499549954996,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_hippocampus,17,0.8567621585609594,0.7494172494172494,1.4142135381698608,0.6022089123725891,3785,3720,3215,1.747311827956989,1.747311827956989,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_amygdala,18,0.8523714094856379,0.7427240977881258,1.4142135381698608,0.5940853953361511,1610,1384,1276,16.329479768786126,16.329479768786126,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,csf,24,0.004122886782482016,0.002065701718396672,65.2686767578125,51.847450256347656,209194,853,433,24424.501758499413,24424.501758499413,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_accumbens_area,26,0.7598736176935229,0.6127388535031847,1.4142135381698608,0.6558002829551697,699,567,481,23.28042328042328,23.28042328042328,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,left_ventral_dc,28,0.8414074451810301,0.7262323943661971,1.4142135381698608,0.7015881538391113,4061,3783,3300,7.348665080623844,7.348665080623844,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_cerebral_white_matter,41,0.8582984817509158,0.7517713413109971,2.0,0.7379575371742249,193219,192225,165413,0.5171023540122253,0.5171023540122253,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_cerebral_cortex,42,0.8140178896717307,0.6863660780232324,1.7320507764816284,0.755824089050293,246472,255829,204441,-3.657521234887366,3.657521234887366,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_lateral_ventricle,43,0.7676894176581089,0.6229674796747967,2.0,0.7271983623504639,4952,4630,3678,6.95464362850972,6.95464362850972,3
trusted_leave_one_source_out_registered_hard_vote,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,right_inferior_lateral_ventricle,44,0.5078909612625538,0.3403846153846154,3.7416574954986572,1.036924958229065,409,288,177,42.01388888888889,42.01388888888889,3
