method,left_subject_id,right_subject_id,pair_label,left_source_name,right_source_name,left_mesh_name,right_mesh_name,mesh_median_pct_bbox,mesh_p90_pct_bbox,mesh_mean_pct_bbox,scale_left_to_right,landmark_descriptor_distance
mediapipe,1_1,1_1,genuine,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,1.3295874564812915,3.092712265114804,1.634426223865951,1.1557209743467485,0.19598322172229193
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,1.5100535197365572,3.504642480126849,1.8131241160180247,1.1735537165648915,0.3216576168063341
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,1.1244404071105514,2.4004420601135457,1.3837505183868923,1.0837971342710504,0.13200558169339222
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,0.786062351277647,2.0553401131182896,1.0346005076911282,1.0291188677941083,0.10150206494039082
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,1.7235942350721896,3.5483066473888756,2.0103464980988153,1.1034878229778573,0.1938121655218988
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,1.3718222476467279,3.5209618433572047,1.8360770033097387,1.202549887073651,0.1756375249512723
mediapipe,1_1,1_1,genuine,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh.ply,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,1.090801425748278,1.9812511365621632,1.2114549995309325,0.993932403788502,0.11795895758273409
mediapipe,1_1,1_1,genuine,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh.ply,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,0.8334048045866108,1.7071917788287776,0.9602247493235642,1.0586646934299733,0.10191890734220425
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,1.6555973357549711,3.3137940001495387,1.8676138190359748,1.0721723247179025,0.38294847036811147
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,1.0210224288035747,1.9447998154843271,1.2044144683349112,0.9908923307569163,0.06928253246171256
